BillNumber,BillDate,DueDate,VendorID,VendorName,Source,PaymentTerms,CurrencySymbol,SubTotal,Total,Balance,CreatedTime,LineItemID,ItemID,SKU,ItemName,Description,Quantity,Unit,Rate,ItemTotal,CustomerID,CustomerName,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU182ZA,Eggplant,per kg ,10,unit,13.95,139.5,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU187EF,Cucumbers,per pieces ,25,unit,14.88,372,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,per kg ,40,unit,17.67,706.8,3.69556E+18,Newrest,,,,,,
389,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,771.9,771.9,771.89,48:25.0,3.69556E+18,3.69556E+18,SKU231WX,Carrots,per kg ,7,unit,27.9,195.3,3.69556E+18,Cozy Zambia,,,,,,
389,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,771.9,771.9,771.89,48:25.0,3.69556E+18,3.69556E+18,SKU299MN,Mint (Fresh),per bunch,5,unit,16.74,83.7,3.69556E+18,Cozy Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU53AB,Potatoes,per 10kg bag,40,kg,17.25,690,3.69556E+18,Prime Joint Zambia,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU102XY,Bell Peppers (Yellow),per kg ,1,unit,60.45,60.45,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU12LM,Watermelon,per head,3,unit,55.8,167.4,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU187EF,Cucumbers,per piece ,10,unit,14.88,148.8,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,per kg,5,unit,17.67,88.35,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU267GH,Onions (White),per kg ,2,unit,16.74,33.48,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU484PQ,Limes,per kg ,3,unit,55.08,165.24,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU96RS,Bell Peppers (Green),per kg ,1,unit,16.74,16.74,3.69556E+18,Mocha n Chai,,,,,,
162,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,740.91,740.91,740.9,55:51.0,3.69556E+18,3.69556E+18,SKU98TU,Bell Peppers (Red),per kg ,1,unit,60.45,60.45,3.69556E+18,Mocha n Chai,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU06FG,Oranges,per kg ,5,unit,52.08,260.4,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU102XY,Bell Peppers (Yellow),No Description,1,unit,60.45,60.45,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU231WX,Carrots,per kg,5,unit,27.9,139.5,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU314BC,Lettuce (Iceberg),per head,3,unit,13.95,41.85,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU369EF,Onions (Spring),per bunch,3,unit,16.74,50.22,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU369VH,Herbs (Rocket),per bunch,3,unit,16.74,50.22,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU403MN,Apples (Granny Smith),per kg,5,unit,52.08,260.4,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU867IJ,Spices (Coriander),per bunch,2,unit,16.74,33.48,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU96RS,Bell Peppers (Green),per kg,1,unit,16.74,16.74,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
160,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,973.71,973.71,973.71,52:29.0,3.69556E+18,3.69556E+18,SKU98TU,Bell Peppers (Red),per kg,1,unit,60.45,60.45,3.69556E+18,Vida e Caffe Pinnacle,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU146PQ,Spinach,per bunch,4,unit,13.95,55.8,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU187EF,Cucumbers,per kg,7.5,unit,14.88,111.6,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,per kg ,20,unit,17.74,354.8,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU217IJ,Corn,per punnet (Baby),20,unit,41.88,837.6,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU231WX,Carrots,per kg ,10,unit,27.9,279,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU369VH,Herbs (Rocket),per bunch ,6,unit,16.74,100.44,3.69556E+18,Prime Joint Zambia,,,,,,
161,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,2503.64,2503.64,2503.63,21:14.0,3.69556E+18,3.69556E+18,SKU489GT,Ginger,per kg ,1,unit,74.4,74.4,3.69556E+18,Prime Joint Zambia,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU231WX,Carrots,per kg,40,unit,27.9,1116,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU236BC,Celery,per bunch,5,unit,23.25,116.25,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU300NO,Butternut Squash,per kg ,14,unit,23.25,325.5,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU317EF,Broccoli,per head ,18,unit,60.45,1088.1,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU342DK,Lettuce (Mixed),per head ,20,unit,13.95,279,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU40NO,Avocado,per piece,10,unit,20.46,204.6,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU489GT,Ginger,per kg,2,unit,74.4,148.8,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU53AB,Potatoes,per bag ,6,kg,172.5,1035,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU77YZ,Onions (Red),per kg ,2,unit,26.04,52.08,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU967KL,Eggs (Chicken),per tray,20,unit,86.49,1729.8,3.69556E+18,Newrest,,,,,,
152,1/9/2025,1/23/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,8908.38,8908.38,8908.37,18:28.0,3.69556E+18,3.69556E+18,SKU98TU,Bell Peppers (Red),per kg,15,unit,60.45,906.75,3.69556E+18,Newrest,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU846NO,Herbs (Basil),No Description,5,unit,16.74,83.7,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU847OP,Herbs (Parsley),No Description,10,unit,16.74,167.4,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU855WX,Herbs (Chives),No Description,5,unit,16.74,83.7,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU867IJ,Spices (Coriander),No Description,5,unit,16.74,83.7,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
26848,1/8/2025,1/22/2025,3.69556E+18,Foodies Enterprise Zambia Ltd,Client,14,ZMW,10280,10280,10280,12:53.0,3.69556E+18,3.69556E+18,SKU401KL,Apples (Red Delicious),No Description,4,unit,335,1340,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
26848,1/8/2025,1/22/2025,3.69556E+18,Foodies Enterprise Zambia Ltd,Client,14,ZMW,10280,10280,10280,12:53.0,3.69556E+18,3.69556E+18,SKU442ZA,Melon (Spanspek),No Description,50,unit,54,2700,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
26848,1/8/2025,1/22/2025,3.69556E+18,Foodies Enterprise Zambia Ltd,Client,14,ZMW,10280,10280,10280,12:53.0,3.69556E+18,3.69556E+18,SKU453KL,Grapes (Red),No Description,40,unit,68,2720,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
26848,1/8/2025,1/22/2025,3.69556E+18,Foodies Enterprise Zambia Ltd,Client,14,ZMW,10280,10280,10280,12:53.0,3.69556E+18,3.69556E+18,SKU455MN,Grapes (Green),No Description,40,unit,63,2520,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
26848,1/8/2025,1/22/2025,3.69556E+18,Foodies Enterprise Zambia Ltd,Client,14,ZMW,10280,10280,10280,12:53.0,3.69556E+18,3.69556E+18,SKU481MN,Grapefruit (Red),No Description,2,unit,500,1000,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
1146,1/8/2025,1/22/2025,3.69556E+18,R & R Meats,Client,14,ZMW,1266.7,1266.7,1266.7,17:12.0,3.69556E+18,3.69556E+18,SKU616RS,Pork (Loin Chops),No Description,10.6,unit,119.5,1266.7,3.69556E+18,Fox N Hound Restaurant,,,,,,
1145,1/8/2025,1/22/2025,3.69556E+18,R & R Meats,Client,14,ZMW,6023.75,6023.75,6023.75,18:56.0,3.69556E+18,3.69556E+18,SKU662GV,Beef (Rump Steak),No Description,30.5,unit,197.5,6023.75,3.69556E+18,Detohome Enterprise Limited,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU102XY,Bell Peppers (Yellow),No Description,3,unit,60.45,181.35,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU121QR,Parsley,No Description,15,unit,16.74,251.1,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU141KA,Cabbage (White),No Description,6,unit,18.6,111.6,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,No Description,15,unit,17.67,265.05,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU236BC,Celery,No Description,1,unit,23.25,23.25,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU314BC,Lettuce (Iceberg),No Description,20,unit,13.95,279,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU317EF,Broccoli,No Description,8,unit,60.45,483.6,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU369VH,Herbs (Rocket),No Description,5,unit,16.74,83.7,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU855WX,Herbs (Chives),No Description,1,unit,16.74,16.74,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU96RS,Bell Peppers (Green),No Description,4,unit,16.74,66.96,3.69556E+18,Cozy Zambia,,,,,,
156,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1943.7,1943.7,1943.7,54:58.0,3.69556E+18,3.69556E+18,SKU98TU,Bell Peppers (Red),No Description,3,unit,60.45,181.35,3.69556E+18,Cozy Zambia,,,,,,
157,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,258.54,258.54,258.54,57:38.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,No Description,8,unit,17.67,141.36,3.69556E+18,Vida e Cafe Cosmo,,,,,,
157,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,258.54,258.54,258.54,57:38.0,3.69556E+18,3.69556E+18,SKU197OP,Tomatoes (Cherry),No Description,2,unit,32.55,65.1,3.69556E+18,Vida e Cafe Cosmo,,,,,,
157,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,258.54,258.54,258.54,57:38.0,3.69556E+18,3.69556E+18,SKU77YZ,Onions (Red),No Description,2,unit,26.04,52.08,3.69556E+18,Vida e Cafe Cosmo,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,Unknown,N/A,Unnamed Item,Jalapeno,5,unit,32.55,162.75,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU102XY,Bell Peppers (Yellow),No Description,20,unit,60.45,1209,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU146PQ,Spinach,No Description,20,unit,13.95,279,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU157AB,Chilli (Green),No Description,1,unit,27.9,27.9,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,No Description,120,unit,17.67,2120.4,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU197OP,Tomatoes (Cherry),No Description,10,unit,32.55,325.5,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU247MN,Mushrooms (Oyster),No Description,16,unit,83.7,1339.2,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU314BC,Lettuce (Iceberg),No Description,30,unit,13.95,418.5,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU317EF,Broccoli,No Description,20,unit,55.8,1116,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU369VH,Herbs (Rocket),No Description,5,unit,16.74,83.7,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
159,1/8/2025,1/22/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,10081.2,10081.2,10081.2,08:45.0,3.69556E+18,3.69556E+18,SKU53AB,Potatoes,No Description,15,kg,172.05,2580.75,3.69556E+18,Controller Ciela Resort and Spa,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU04DE,Bananas,No Description,10,unit,18,180,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU146PQ,Spinach,No Description,2,unit,13.95,27.9,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU187EF,Cucumbers,No Description,1,unit,24.18,24.18,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU191IJ,Tomatoes,No Description,5,unit,17.67,88.35,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU197OP,Tomatoes (Cherry),No Description,1,unit,32.55,32.55,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU231WX,Carrots,No Description,1,unit,27.9,27.9,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU314BC,Lettuce (Iceberg),No Description,2,unit,13.95,27.9,3.69556E+18,Vida E Cafe Zambezi,,,,,,
158,1/7/2025,1/21/2025,3.69556E+18,Farmers Den Pack House Ltd,Client,14,ZMW,1389,1389,1389,02:17.0,3.69556E+18,3.69556E+18,SKU369EF,Onions (Spring),No Description,1,unit,16.74,16.74,3.69556E+18,Vida E Cafe Zambezi,,,,,,
